Original: whale | Swapped: al->in | Result: whine
Original: suspects | Swapped: ct->nd | Result: suspends
Original: oilgun | Swapped: il->ut | Result: outgun
Original: conjugation | Swapped: ga->nc | Result: conjunction
Original: start | Swapped: ar->il | Result: stilt
Original: start | Swapped: ar->in | Result: stint
Original: start | Swapped: ar->pa | Result: stpat
Original: oilspots | Swapped: il->ne | Result: onespots
Original: aircon | Swapped: co->me | Result: airmen
Original: aircon | Swapped: co->ma | Result: airman
Original: elgar | Swapped: ga->me | Result: elmer
Original: warners | Swapped: ar->hi | Result: whiners
Original: warners | Swapped: ar->in | Result: winners
Original: shivery | Swapped: hi->il | Result: silvery
Original: shivery | Swapped: hi->la | Result: slavery
Original: mandan | Swapped: nd->ri | Result: marian
Original: saluter | Swapped: al->co | Result: scouter
Original: unsoaked | Swapped: ak->il | Result: unsoiled
Original: flamed | Swapped: la->or | Result: formed
Original: lostarts | Swapped: ar->ca | Result: lostcats
Original: cored | Swapped: or->ri | Result: cried
Original: adenine | Swapped: de->la | Result: alanine
Original: zimas | Swapped: ma->ne | Result: zines
Original: zimas | Swapped: ma->nc | Result: zincs
Original: snaking | Swapped: ak->or | Result: snoring
Original: forwardness | Swapped: ne->pa | Result: forwardpass
Original: inacast | Swapped: ca->ne | Result: inanest
Original: shirk | Swapped: hi->pa | Result: spark
Original: froward | Swapped: ar->ne | Result: frowned
Original: beaker | Swapped: ak->nd | Result: bender
Original: hearn | Swapped: ar->me | Result: hemen
Original: hearn | Swapped: ar->ma | Result: heman
Original: hearn | Swapped: ar->mi | Result: hemin
Original: misspeaks | Swapped: ak->nd | Result: misspends
Original: haycocks | Swapped: co->ri | Result: hayricks
Original: raked | Swapped: ak->il | Result: riled
Original: instigative | Swapped: ga->nc | Result: instinctive
Original: forints | Swapped: in->ma | Result: formats
Original: brazen | Swapped: az->ok | Result: broken
Original: slangy | Swapped: la->wi | Result: swingy
Original: reviles | Swapped: il->ok | Result: revokes
Original: billers | Swapped: il->ut | Result: butlers
Original: uncoat | Swapped: co->ne | Result: unneat
Original: smalls | Swapped: ma->ne | Result: snells
Original: smalls | Swapped: ma->wi | Result: swills
Original: sailon | Swapped: il->ms | Result: samson
Original: shiers | Swapped: hi->id | Result: siders
Original: shiers | Swapped: hi->ne | Result: sneers
Original: mandela | Swapped: de->il | Result: manilla
Original: refracted | Swapped: ct->in | Result: refrained
Original: elegants | Swapped: ga->me | Result: elements
Original: haziest | Swapped: az->ok | Result: hokiest
Original: socony | Swapped: co->ma | Result: somany
Original: shirking | Swapped: hi->pa | Result: sparking
Original: mortons | Swapped: or->ut | Result: muttons
Original: pecos | Swapped: co->nd | Result: pends
Original: northward | Swapped: ar->in | Result: northwind
Original: mudeel | Swapped: de->ri | Result: muriel
Original: wakener | Swapped: ak->id | Result: widener
Original: rakers | Swapped: ak->id | Result: riders
Original: renege | Swapped: ne->pa | Result: repage
Original: appears | Swapped: ar->nd | Result: appends
Original: spider | Swapped: id->ri | Result: sprier
Original: pears | Swapped: ar->co | Result: pecos
Original: pears | Swapped: ar->nd | Result: pends
Original: scorp | Swapped: or->ri | Result: scrip
Original: shader | Swapped: de->mi | Result: shamir
Original: westward | Swapped: ar->in | Result: westwind
Original: chained | Swapped: in->nc | Result: chanced
Original: elastic | Swapped: la->ri | Result: eristic
Original: edens | Swapped: de->va | Result: evans
Original: codec | Swapped: de->mi | Result: comic
Original: twilit | Swapped: il->oh | Result: twohit
Original: cloaking | Swapped: ak->ut | Result: clouting
Original: smits | Swapped: mi->or | Result: sorts
Original: smits | Swapped: mi->pa | Result: spats
Original: smits | Swapped: mi->wa | Result: swats
Original: bingham | Swapped: in->ri | Result: brigham
Original: chimes | Swapped: me->va | Result: chivas
Original: corey | Swapped: or->ut | Result: cutey
Original: stupids | Swapped: id->or | Result: stupors
Original: rewards | Swapped: ar->il | Result: rewilds
Original: rewards | Swapped: ar->in | Result: rewinds
Original: callers | Swapped: al->ut | Result: cutlers
Original: flatters | Swapped: la->ri | Result: fritters
Original: brazes | Swapped: az->id | Result: brides
Original: brazes | Swapped: az->in | Result: brines
Original: brazes | Swapped: az->ut | Result: brutes
Original: spalls | Swapped: pa->wi | Result: swills
Original: conman | Swapped: nm->ri | Result: corian
Original: flasks | Swapped: la->ri | Result: frisks
Original: spooks | Swapped: ok->ut | Result: spouts
Original: slash | Swapped: la->wi | Result: swish
Original: bonds | Swapped: nd->ok | Result: books
Original: bonds | Swapped: nd->or | Result: boors
Original: bonds | Swapped: nd->ri | Result: boris
Original: bonds | Swapped: nd->sc | Result: boscs
Original: bonds | Swapped: nd->ut | Result: bouts
Original: ropewalk | Swapped: al->or | Result: ropework
Original: scorches | Swapped: co->mi | Result: smirches
Original: bides | Swapped: de->nd | Result: binds
Original: bides | Swapped: id->or | Result: bores
Original: remelds | Swapped: me->wi | Result: rewilds
Original: plaque | Swapped: la->or | Result: porque
Original: salter | Swapped: al->co | Result: scoter
Original: salter | Swapped: al->in | Result: sinter
Original: salter | Swapped: al->la | Result: slater
Original: salter | Swapped: al->or | Result: sorter
Original: salter | Swapped: al->ut | Result: sutter
Original: achiest | Swapped: hi->ut | Result: acutest
Original: grimier | Swapped: mi->nd | Result: grinder
Original: shorter | Swapped: or->ut | Result: shutter
Original: scale | Swapped: al->or | Result: score
Original: scale | Swapped: ca->id | Result: sidle
Original: scale | Swapped: ca->mi | Result: smile
Original: peart | Swapped: ar->wi | Result: pewit
Original: chinking | Swapped: hi->la | Result: clanking
Original: gladder | Swapped: la->ri | Result: gridder
Original: moils | Swapped: il->mo | Result: momos
Original: moils | Swapped: il->ok | Result: mooks
Original: moils | Swapped: il->or | Result: moors
Original: walkman | Swapped: al->or | Result: workman
Original: marines | Swapped: in->ri | Result: marries
Original: rearup | Swapped: ar->co | Result: recoup
Original: princesses | Swapped: nc->or | Result: prioresses
Original: starve | Swapped: ar->ri | Result: strive
Original: mademan | Swapped: de->il | Result: mailman
Original: mademan | Swapped: de->in | Result: mainman
Original: sadeyes | Swapped: de->id | Result: saidyes
Original: slakers | Swapped: ak->id | Result: sliders
Original: slakers | Swapped: la->mo | Result: smokers
Original: palters | Swapped: al->la | Result: platers
Original: palters | Swapped: al->or | Result: porters
Original: palters | Swapped: al->ut | Result: putters
Original: comparable | Swapped: ar->ut | Result: computable
Original: ninth | Swapped: in->or | Result: north
Original: honda | Swapped: nd->oh | Result: hooha
Original: honda | Swapped: nd->ok | Result: hooka
Original: roiled | Swapped: il->ok | Result: rooked
Original: roiled | Swapped: il->ut | Result: routed
Original: starters | Swapped: ar->in | Result: stinters
Original: starters | Swapped: ar->ut | Result: stutters
Original: tiaras | Swapped: ar->ne | Result: tineas
Original: tinners | Swapped: in->wi | Result: twiners
Original: stones | Swapped: ne->ut | Result: stouts
Original: retracting | Swapped: ct->in | Result: retraining
Original: cloaked | Swapped: ak->ut | Result: clouted
Original: oromeo | Swapped: me->sc | Result: orosco
Original: nodes | Swapped: de->ma | Result: nomas
Original: nodes | Swapped: de->ok | Result: nooks
Original: nodes | Swapped: de->va | Result: novas
Original: tractable | Swapped: ct->in | Result: trainable
Original: odelay | Swapped: de->ut | Result: outlay
Original: swears | Swapped: ar->de | Result: swedes
Original: gainer | Swapped: in->mi | Result: gamier
Original: gainer | Swapped: in->nd | Result: gander
Original: whaler | Swapped: al->in | Result: whiner
Original: shake | Swapped: ak->in | Result: shine
Original: shake | Swapped: ak->or | Result: shore
Original: shake | Swapped: ak->ut | Result: shute
Original: broils | Swapped: il->nc | Result: broncs
Original: broils | Swapped: il->ok | Result: brooks
Original: youcan | Swapped: ca->wi | Result: youwin
Original: fakirs | Swapped: ak->la | Result: flairs
Original: wallst | Swapped: al->hi | Result: whilst
Original: unbearable | Swapped: ar->nd | Result: unbendable
Original: ideas | Swapped: de->nc | Result: incas
Original: remanding | Swapped: ma->wi | Result: rewinding
Original: allmale | Swapped: al->in | Result: allmine
Original: camis | Swapped: mi->ne | Result: canes
Original: razed | Swapped: az->il | Result: riled
Original: hader | Swapped: de->ga | Result: hagar
Original: firesales | Swapped: al->id | Result: firesides
Original: cabaret | Swapped: ar->in | Result: cabinet
Original: starz | Swapped: ar->ut | Result: stutz
Original: loreal | Swapped: or->ut | Result: luteal
Original: herald | Swapped: al->de | Result: herded
Original: winds | Swapped: in->or | Result: words
Original: slated | Swapped: la->or | Result: sorted
Original: stakes | Swapped: ak->id | Result: stides
Original: stakes | Swapped: ak->il | Result: stiles
Original: stakes | Swapped: ak->or | Result: stores
Original: toneup | Swapped: ne->ok | Result: tookup
Original: clack | Swapped: la->ri | Result: crick
Original: compacting | Swapped: ct->ny | Result: companying
Original: soars | Swapped: ar->il | Result: soils
Original: soars | Swapped: ar->ny | Result: sonys
Original: honey | Swapped: ne->ok | Result: hooky
Original: rakeup | Swapped: ak->id | Result: rideup
Original: rakeup | Swapped: ak->il | Result: rileup
Original: ablation | Swapped: la->or | Result: abortion
Original: bflat | Swapped: fl->or | Result: borat
Original: onepart | Swapped: ar->in | Result: onepint
Original: onepart | Swapped: ar->ut | Result: oneputt
Original: walkingon | Swapped: al->or | Result: workingon
Original: shingle | Swapped: hi->pa | Result: spangle
Original: learnto | Swapped: ar->pa | Result: lepanto
Original: rainon | Swapped: in->ms | Result: ramson
Original: implanted | Swapped: la->ri | Result: imprinted
Original: yesiam | Swapped: ia->mo | Result: yesmom
Original: tubemen | Swapped: me->pa | Result: tubepan
Original: takeover | Swapped: ak->id | Result: tideover
Original: biding | Swapped: id->or | Result: boring
Original: lodes | Swapped: de->in | Result: loins
Original: lodes | Swapped: de->ok | Result: looks
Original: lodes | Swapped: de->ri | Result: loris
Original: lodes | Swapped: de->ut | Result: louts
Original: omelets | Swapped: me->ut | Result: outlets
Original: deepfakes | Swapped: ak->ri | Result: deepfries
Original: bargains | Swapped: in->me | Result: bargames
Original: clinching | Swapped: in->ut | Result: clutching
Original: tomato | Swapped: ma->ok | Result: tookto
Original: brassquartets | Swapped: ar->in | Result: brassquintets
Original: windiness | Swapped: in->or | Result: wordiness
Original: haile | Swapped: il->ut | Result: haute
Original: malia | Swapped: al->or | Result: moria
Original: pintheblameon | Swapped: in->ut | Result: puttheblameon
Original: chide | Swapped: id->ok | Result: choke
Original: chide | Swapped: id->or | Result: chore
Original: chide | Swapped: id->ut | Result: chute
Original: intermit | Swapped: mi->ne | Result: internet
Original: relaxers | Swapped: la->mi | Result: remixers
Original: dalis | Swapped: al->or | Result: doris
Original: tiled | Swapped: il->ok | Result: toked
Original: tiled | Swapped: il->ri | Result: tried
Original: placers | Swapped: la->ri | Result: pricers
Original: inthecold | Swapped: co->wi | Result: inthewild
Original: pared | Swapped: ar->il | Result: piled
Original: pared | Swapped: ar->in | Result: pined
Original: pared | Swapped: ar->ok | Result: poked
Original: pared | Swapped: ar->ri | Result: pried
Original: chiding | Swapped: hi->or | Result: cording
Original: chiding | Swapped: id->ok | Result: choking
Original: quartet | Swapped: ar->in | Result: quintet
Original: cortical | Swapped: or->ri | Result: critical
Original: choke | Swapped: ok->ut | Result: chute
Original: chars | Swapped: ar->in | Result: chins
Original: chars | Swapped: ar->ri | Result: chris
Original: lines | Swapped: in->or | Result: lores
Original: lines | Swapped: in->ut | Result: lutes
Original: armed | Swapped: me->ri | Result: arrid
Original: sigils | Swapped: il->ma | Result: sigmas
Original: party | Swapped: ar->ut | Result: putty
Original: scotch | Swapped: co->wa | Result: swatch
Original: scotch | Swapped: co->wi | Result: switch
Original: raring | Swapped: ar->id | Result: riding
Original: raring | Swapped: ar->il | Result: riling
Original: inarrears | Swapped: ar->ne | Result: innerears
Original: oneset | Swapped: ne->ut | Result: outset
Original: downward | Swapped: ar->in | Result: downwind
Original: taros | Swapped: ar->ri | Result: trios
Original: cartingin | Swapped: ar->ut | Result: cuttingin
Original: pincers | Swapped: in->la | Result: placers
Original: pincers | Swapped: in->ri | Result: pricers
Original: onepint | Swapped: in->ut | Result: oneputt
Original: droids | Swapped: id->me | Result: dromes
Original: droids | Swapped: id->ne | Result: drones
Original: fakename | Swapped: ak->il | Result: filename
Original: fakename | Swapped: ak->or | Result: forename
Original: sagal | Swapped: ga->nd | Result: sandl
Original: piney | Swapped: in->ok | Result: pokey
Original: sakebars | Swapped: ak->id | Result: sidebars
Original: sakebars | Swapped: ak->in | Result: sinebars
Original: primness | Swapped: mn->nc | Result: princess
Original: primness | Swapped: mn->or | Result: prioress
Original: deary | Swapped: ar->ca | Result: decay
Original: deary | Swapped: ar->co | Result: decoy
Original: deary | Swapped: ar->la | Result: delay
Original: baked | Swapped: ak->id | Result: bided
Original: baked | Swapped: ak->or | Result: bored
Original: unmaking | Swapped: ak->ut | Result: unmuting
Original: slangs | Swapped: la->wi | Result: swings
Original: slathered | Swapped: la->mo | Result: smothered
Original: splat | Swapped: la->or | Result: sport
Original: splat | Swapped: la->ri | Result: sprit
Original: mandelas | Swapped: de->il | Result: manillas
Original: compile | Swapped: il->ut | Result: compute
Original: sings | Swapped: in->la | Result: slags
Original: sings | Swapped: in->mo | Result: smogs
Original: sings | Swapped: in->wi | Result: swigs
Original: scouring | Swapped: co->ut | Result: suturing
Original: tarter | Swapped: ar->il | Result: tilter
Original: tarter | Swapped: ar->in | Result: tinter
Original: tarter | Swapped: ar->ri | Result: triter
Original: getswind | Swapped: in->or | Result: getsword
Original: plants | Swapped: la->ri | Result: prints
Original: finable | Swapped: in->ri | Result: friable
Original: marshals | Swapped: al->ga | Result: marshgas
Original: dazed | Swapped: az->in | Result: dined
Original: dazed | Swapped: az->ri | Result: dried
Original: sealingup | Swapped: al->nd | Result: sendingup
Original: stealers | Swapped: al->in | Result: steiners
Original: southland | Swapped: la->wi | Result: southwind
Original: earings | Swapped: ar->nd | Result: endings
Original: earings | Swapped: in->wi | Result: earwigs
Original: karel | Swapped: ar->ne | Result: kneel
Original: rarin | Swapped: ar->id | Result: ridin
Original: threepart | Swapped: ar->ut | Result: threeputt
Original: finger | Swapped: in->or | Result: forger
Original: confider | Swapped: id->ut | Result: confuter
Original: tidal | Swapped: id->ri | Result: trial
Original: suspecting | Swapped: ct->nd | Result: suspending
Original: mender | Swapped: de->hi | Result: menhir
Original: peaks | Swapped: ak->co | Result: pecos
Original: peaks | Swapped: ak->nd | Result: pends
Original: gotwindof | Swapped: in->or | Result: gotwordof
Original: lading | Swapped: in->ma | Result: ladmag
Original: sortout | Swapped: or->pa | Result: spatout
Original: quart | Swapped: ar->il | Result: quilt
Original: quart | Swapped: ar->in | Result: quint
Original: boilers | Swapped: il->nd | Result: bonders
Original: boilers | Swapped: il->ok | Result: bookers
Original: boilers | Swapped: il->wy | Result: bowyers
Original: thedew | Swapped: de->la | Result: thelaw
Original: weaker | Swapped: ak->in | Result: weiner
Original: sailing | Swapped: il->nd | Result: sanding
Original: plaids | Swapped: id->ne | Result: planes
Original: recording | Swapped: co->ga | Result: regarding
Original: recording | Swapped: co->wa | Result: rewarding
Original: skype | Swapped: ky->wi | Result: swipe
Original: pares | Swapped: ar->il | Result: piles
Original: pares | Swapped: ar->in | Result: pines
Original: pares | Swapped: ar->ok | Result: pokes
Original: pares | Swapped: ar->ri | Result: pries
Original: trashcan | Swapped: ca->me | Result: trashmen
Original: rebids | Swapped: id->ut | Result: rebuts
Original: alaking | Swapped: ak->in | Result: alining
Original: galas | Swapped: la->me | Result: games
Original: fails | Swapped: il->ri | Result: faris
Original: silane | Swapped: la->mo | Result: simone
Original: plasm | Swapped: la->ri | Result: prism
Original: refrains | Swapped: in->me | Result: reframes
Original: farmclub | Swapped: ar->il | Result: filmclub
Original: faring | Swapped: ar->il | Result: filing
Original: faring | Swapped: ar->in | Result: fining
Original: resale | Swapped: al->id | Result: reside
Original: carts | Swapped: ar->hi | Result: chits
Original: earless | Swapped: ar->nd | Result: endless
Original: carton | Swapped: ar->hi | Result: chiton
Original: irades | Swapped: de->il | Result: irails
Original: sealing | Swapped: al->in | Result: seining
Original: sealing | Swapped: al->nd | Result: sending
Original: teared | Swapped: ar->nd | Result: tended
Original: waking | Swapped: ak->in | Result: wining
Original: shipout | Swapped: hi->wa | Result: swapout
Original: sneer | Swapped: ne->or | Result: sorer
Original: sorters | Swapped: or->ut | Result: sutters
Original: winters | Swapped: in->ri | Result: writers
Original: takesout | Swapped: ak->ri | Result: triesout
Original: onthefly | Swapped: fl->wa | Result: ontheway
Original: shims | Swapped: hi->la | Result: slams
Original: shims | Swapped: hi->pa | Result: spams
Original: bestill | Swapped: il->pa | Result: bestpal
Original: larking | Swapped: ar->in | Result: linking
Original: takeaway | Swapped: ak->or | Result: toreaway
Original: imean | Swapped: me->nc | Result: incan
Original: relaxes | Swapped: la->mi | Result: remixes
Original: lamas | Swapped: ma->ne | Result: lanes
Original: lamas | Swapped: ma->nd | Result: lands
Original: shins | Swapped: hi->pa | Result: spans
Original: shins | Swapped: hi->wa | Result: swans
Original: shins | Swapped: in->ut | Result: shuts
Original: sails | Swapped: il->nd | Result: sands
Original: sails | Swapped: il->ri | Result: saris
Original: sails | Swapped: il->wa | Result: sawas
Original: makeadent | Swapped: de->mi | Result: makeamint
Original: tames | Swapped: me->pa | Result: tapas
Original: coney | Swapped: ne->pa | Result: copay
Original: stealer | Swapped: al->in | Result: steiner
Original: emily | Swapped: il->or | Result: emory
Original: rewilds | Swapped: il->or | Result: rewords
Original: paled | Swapped: al->in | Result: pined
Original: paled | Swapped: al->ok | Result: poked
Original: paled | Swapped: al->or | Result: pored
Original: paled | Swapped: al->ri | Result: pried
Original: smash | Swapped: ma->wi | Result: swish
Original: headship | Swapped: hi->la | Result: headslap
Original: madeoff | Swapped: de->il | Result: mailoff
Original: unhitched | Swapped: hi->la | Result: unlatched
Original: unhitched | Swapped: hi->ma | Result: unmatched
Original: redcoat | Swapped: co->me | Result: redmeat
Original: directed | Swapped: ct->ne | Result: direneed
Original: doido | Swapped: id->nh | Result: donho
Original: oilfields | Swapped: il->ut | Result: outfields
Original: tonjon | Swapped: nj->ok | Result: tookon
Original: unmake | Swapped: ak->ut | Result: unmute
Original: andes | Swapped: nd->ri | Result: aries
Original: graying | Swapped: in->la | Result: graylag
Original: elias | Swapped: ia->mo | Result: elmos
Original: scatty | Swapped: ca->mi | Result: smitty
Original: weeded | Swapped: de->la | Result: weelad
Original: salvers | Swapped: al->hi | Result: shivers
Original: salvers | Swapped: al->la | Result: slavers
Original: pinson | Swapped: in->ri | Result: prison
Original: pinson | Swapped: in->ut | Result: putson
Original: intimation | Swapped: ma->nc | Result: intinction
Original: dialsout | Swapped: al->ne | Result: dinesout
Original: coining | Swapped: in->ok | Result: cooking
Original: chives | Swapped: hi->la | Result: claves
Original: gilds | Swapped: il->la | Result: glads
Original: gilds | Swapped: il->ri | Result: grids
Original: pining | Swapped: in->ok | Result: poking
Original: pining | Swapped: in->or | Result: poring
Original: wideout | Swapped: id->or | Result: woreout
Original: tomei | Swapped: me->ri | Result: torii
Original: fishtacos | Swapped: co->il | Result: fishtails
Original: oilman | Swapped: il->ne | Result: oneman
Original: oilman | Swapped: il->ut | Result: outman
Original: dakar | Swapped: ak->in | Result: dinar
Original: staring | Swapped: ar->ok | Result: stoking
Original: tiding | Swapped: id->ok | Result: toking
Original: fazing | Swapped: az->il | Result: filing
Original: fazing | Swapped: az->in | Result: fining
Original: lanes | Swapped: ne->va | Result: lavas
Original: silkily | Swapped: il->mo | Result: smokily
Original: soarer | Swapped: ar->il | Result: soiler
Original: soarer | Swapped: ar->ut | Result: souter
Original: brains | Swapped: in->nd | Result: brands
Original: brains | Swapped: in->va | Result: bravas
Original: carding | Swapped: ar->hi | Result: chiding
Original: icall | Swapped: ca->wi | Result: iwill
Original: salty | Swapped: al->la | Result: slaty
Original: retakes | Swapped: ak->il | Result: retiles
Original: retakes | Swapped: ak->ri | Result: retries
Original: thinout | Swapped: hi->or | Result: tornout
Original: cocooned | Swapped: co->nd | Result: condoned
Original: morgan | Swapped: ga->mo | Result: mormon
Original: wailer | Swapped: il->nd | Result: wander
Original: wailer | Swapped: il->ri | Result: warier
Original: silver | Swapped: il->la | Result: slaver
Original: goescold | Swapped: co->wi | Result: goeswild
Original: jared | Swapped: ar->ok | Result: joked
Original: brines | Swapped: in->ut | Result: brutes
Original: fakenames | Swapped: ak->il | Result: filenames
Original: fakenames | Swapped: ak->or | Result: forenames
Original: toiles | Swapped: il->ri | Result: tories
Original: niall | Swapped: al->hi | Result: nihil
Original: oilfield | Swapped: il->ut | Result: outfield
Original: dazing | Swapped: az->in | Result: dining
Original: walters | Swapped: al->in | Result: winters
Original: walters | Swapped: al->ri | Result: writers
Original: uncorked | Swapped: co->ma | Result: unmarked
Original: peale | Swapped: al->nc | Result: pence
Original: tamale | Swapped: al->mi | Result: tammie
Original: coralred | Swapped: al->ne | Result: cornered
Original: bonmots | Swapped: mo->ne | Result: bonnets
Original: blare | Swapped: ar->ok | Result: bloke
Original: revile | Swapped: il->ok | Result: revoke
Original: uncoined | Swapped: in->ok | Result: uncooked
Original: nicolo | Swapped: co->hi | Result: nihilo
Original: lenins | Swapped: in->ny | Result: lennys
Original: intears | Swapped: ar->nd | Result: intends
Original: whims | Swapped: hi->or | Result: worms
Original: scotchmen | Swapped: co->wi | Result: switchmen
Original: deacon | Swapped: co->de | Result: deaden
Original: walther | Swapped: al->hi | Result: whither
Original: foregather | Swapped: ga->mo | Result: foremother
Original: peaked | Swapped: ak->nd | Result: pended
Original: togas | Swapped: ga->il | Result: toils
Original: togas | Swapped: ga->me | Result: tomes
Original: togas | Swapped: ga->ne | Result: tones
Original: togas | Swapped: ga->ny | Result: tonys
Original: togas | Swapped: ga->ut | Result: touts
Original: diner | Swapped: in->ri | Result: drier
Original: london | Swapped: nd->ok | Result: lookon
Original: carders | Swapped: ar->hi | Result: chiders
Original: carders | Swapped: ar->in | Result: cinders
Original: staking | Swapped: ak->or | Result: storing
Original: steals | Swapped: al->in | Result: steins
Original: confides | Swapped: id->ut | Result: confutes
Original: memos | Swapped: mo->ne | Result: menes
Original: memos | Swapped: mo->nd | Result: mends
Original: vocative | Swapped: ca->mi | Result: vomitive
Original: oneacts | Swapped: ne->ut | Result: outacts
Original: deals | Swapped: al->ga | Result: degas
Original: deals | Swapped: al->mo | Result: demos
Original: winded | Swapped: in->or | Result: worded
Original: conyers | Swapped: ny->ok | Result: cookers
Original: slams | Swapped: la->wi | Result: swims
Original: aborted | Swapped: or->ut | Result: abutted
Original: permeates | Swapped: me->or | Result: perorates
Original: consular | Swapped: la->me | Result: consumer
Original: shilling | Swapped: hi->me | Result: smelling
Original: mallcop | Swapped: co->ma | Result: mallmap
Original: tvcams | Swapped: ca->mo | Result: tvmoms
Original: gotwind | Swapped: in->or | Result: gotword
Original: takesfor | Swapped: ak->ri | Result: triesfor
Original: headland | Swapped: la->wi | Result: headwind
Original: tilaks | Swapped: ak->de | Result: tildes
Original: corps | Swapped: or->ri | Result: crips
Original: brailed | Swapped: il->nd | Result: branded
Original: cloris | Swapped: ri->ut | Result: clouts
Original: talkers | Swapped: al->in | Result: tinkers
Original: sanded | Swapped: nd->ut | Result: sauted
Original: chinet | Swapped: hi->or | Result: cornet
Original: ships | Swapped: hi->la | Result: slaps
Original: ships | Swapped: hi->wa | Result: swaps
Original: shipping | Swapped: hi->la | Result: slapping
Original: shipping | Swapped: hi->wa | Result: swapping
Original: spoiler | Swapped: il->ut | Result: spouter
Original: splintering | Swapped: in->ut | Result: spluttering
Original: nailit | Swapped: il->me | Result: nameit
Original: actions | Swapped: ct->mn | Result: amnions
Original: barged | Swapped: ar->in | Result: binged
Original: stopat | Swapped: pa->wi | Result: stowit
Original: stared | Swapped: ar->ok | Result: stoked
Original: chided | Swapped: hi->or | Result: corded
Original: chided | Swapped: id->ok | Result: choked
Original: chided | Swapped: id->ut | Result: chuted
Original: domesday | Swapped: me->ri | Result: dorisday
Original: scaler | Swapped: al->or | Result: scorer
Original: scaler | Swapped: ca->ky | Result: skyler
Original: scaler | Swapped: ca->mi | Result: smiler
Original: scaler | Swapped: ca->ut | Result: sutler
Original: whigs | Swapped: hi->in | Result: wings
Original: takemine | Swapped: in->or | Result: takemore
Original: talker | Swapped: al->in | Result: tinker
Original: siding | Swapped: id->ky | Result: skying
Original: flats | Swapped: la->or | Result: forts
Original: fungal | Swapped: ga->ne | Result: funnel
Original: nohit | Swapped: hi->ne | Result: nonet
